姓名,证件号,手机号,性别,想去的分组,报名时间,无障碍需求
赵小明,110101199001011237,13800138001,男,第1组,2025-06-01 09:00:00,
赵 小明,110101199001011237,13800138001,男,第2组,2025-06-02 10:30:00,
赵晓明,110101199001011237,138-0013-8001,M,,2025-06-03 14:00:00,
钱多多,310101199203044560,13900139002,女,第1组,2025-06-01 10:00:00,
钱多多,,139 0013 9002,F,第1组,2025-06-04 08:00:00,
孙丽华,440101198805067895,18600186003,女,第3组,2025-06-01 11:00:00,是
李　伟,510101 199508 080121,１３６００１３６００４,男,第2组,2025-06-02 09:30:00,
周 六,32010119911212345X,13700137005,男,第4组,2025-06-02 15:00:00,
吴七,110101199001011230,13812345678,男,第1组,2025-06-03 09:00:00,
郑八,12345,12345,,,2025-06-03 10:00:00,
王九,110101198001010010,00000000000,男,,2025-06-03 11:00:00,
陈甲,110101199002020012,13500135010,男,第1组,2025-06-04 09:00:00,
褚乙,110101199002020020,13500135011,女,第1组,2025-06-04 09:10:00,
卫丙,110101199002020039,13500135012,男,第2组,2025-06-04 09:20:00,是
蒋丁,110101199002020047,13500135013,女,第2组,2025-06-04 09:30:00,
沈戊,110101199002020055,13500135014,男,第3组,2025-06-04 09:40:00,
韩己,110101199002020063,13500135015,女,第3组,2025-06-04 09:50:00,
路人A,110101199003031004,13500135100,男,,2025-06-05 10:00:00,
路人B,110101199003031012,13500135101,女,,2025-06-05 10:01:00,
路人C,110101199003031020,13500135102,男,,2025-06-05 10:02:00,
